FECHA,HORA,TEMP,HUM,PNM,DD,FF,NOMBRE,FECHA_HORA
01012021,    0,  21.0,   51,  1012.9,   50,    6     ,CORDOBA OBSERVATORIO,2021-01-01 00:00:00
01012021,    1,  21.2,   47,  1012.6,   20,    6     ,CORDOBA OBSERVATORIO,2021-01-01 01:00:00
01012021,    2,  20.7,   49,  1010.7,  340,    4     ,CORDOBA OBSERVATORIO,2021-01-01 02:00:00
01012021,    3,  19.4,   55,  1011.3,  320,    4     ,CORDOBA OBSERVATORIO,2021-01-01 03:00:00
01012021,    4,  19.6,   53,  1011.2,  360,    7     ,CORDOBA OBSERVATORIO,2021-01-01 04:00:00
01012021,    5,  18.7,   60,  1011.0,  340,    2     ,CORDOBA OBSERVATORIO,2021-01-01 05:00:00
01012021,    6,  18.8,   60,  1011.6,  320,    4     ,CORDOBA OBSERVATORIO,2021-01-01 06:00:00
01012021,    7,  18.8,   61,  1012.7,  320,    6     ,CORDOBA OBSERVATORIO,2021-01-01 07:00:00
01012021,    8,  21.2,   52,  1013.3,  360,    7     ,CORDOBA OBSERVATORIO,2021-01-01 08:00:00
01012021,    9,  23.6,   42,  1013.6,   50,   11     ,CORDOBA OBSERVATORIO,2021-01-01 09:00:00
01012021,   10,  26.6,   36,  1013.4,   50,   11     ,CORDOBA OBSERVATORIO,2021-01-01 10:00:00
01012021,   11,  28.0,   37,  1013.0,   50,   13     ,CORDOBA OBSERVATORIO,2021-01-01 11:00:00
01012021,   12,  28.2,   37,  1013.0,   50,   20     ,CORDOBA OBSERVATORIO,2021-01-01 12:00:00
01012021,   13,  29.0,   35,  1012.2,   50,   15     ,CORDOBA OBSERVATORIO,2021-01-01 13:00:00
01012021,   14,  29.6,   33,  1011.9,   50,   15     ,CORDOBA OBSERVATORIO,2021-01-01 14:00:00
01012021,   15,  30.5,   31,  1012.0,   50,   15     ,CORDOBA OBSERVATORIO,2021-01-01 15:00:00
01012021,   16,  31.4,   30,  1011.6,   50,   13     ,CORDOBA OBSERVATORIO,2021-01-01 16:00:00
01012021,   17,  31.6,   30,  1011.2,   50,   17     ,CORDOBA OBSERVATORIO,2021-01-01 17:00:00
01012021,   18,  31.2,   31,  1010.8,   50,    9     ,CORDOBA OBSERVATORIO,2021-01-01 18:00:00
01012021,   19,  30.7,   34,  1010.8,   90,   17     ,CORDOBA OBSERVATORIO,2021-01-01 19:00:00
01012021,   20,  28.8,   35,  1011.5,   90,   17     ,CORDOBA OBSERVATORIO,2021-01-01 20:00:00
01012021,   21,  27.6,   37,  1012.1,   90,   15     ,CORDOBA OBSERVATORIO,2021-01-01 21:00:00
01012021,   22,  26.5,   40,  1012.7,   50,    7     ,CORDOBA OBSERVATORIO,2021-01-01 22:00:00
01012021,   23,  25.7,   42,  1013.4,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-01 23:00:00
02012021,    0,  25.2,   42,  1013.4,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-02 00:00:00
02012021,    1,  24.5,   47,  1014.0,  360,    6     ,CORDOBA OBSERVATORIO,2021-01-02 01:00:00
02012021,    2,  24.4,   48,  1014.3,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-02 02:00:00
02012021,    3,  23.8,   51,  1014.0,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-02 03:00:00
02012021,    4,  23.2,   53,  1013.5,   50,    6     ,CORDOBA OBSERVATORIO,2021-01-02 04:00:00
02012021,    5,  23.4,   53,  1013.5,   90,    7     ,CORDOBA OBSERVATORIO,2021-01-02 05:00:00
02012021,    6,  22.6,   58,  1013.3,   90,   11     ,CORDOBA OBSERVATORIO,2021-01-02 06:00:00
02012021,    7,  22.9,   57,  1013.3,   90,   11     ,CORDOBA OBSERVATORIO,2021-01-02 07:00:00
02012021,    8,  23.2,   54,  1013.3,   70,    7     ,CORDOBA OBSERVATORIO,2021-01-02 08:00:00
02012021,    9,  24.0,   51,  1013.3,   50,    9     ,CORDOBA OBSERVATORIO,2021-01-02 09:00:00
02012021,   10,  24.9,   49,  1012.8,   70,   13     ,CORDOBA OBSERVATORIO,2021-01-02 10:00:00
02012021,   11,  28.1,   40,  1012.3,   50,   13     ,CORDOBA OBSERVATORIO,2021-01-02 11:00:00
02012021,   12,  28.6,   41,  1011.9,   50,   11     ,CORDOBA OBSERVATORIO,2021-01-02 12:00:00
02012021,   13,  29.9,   44,  1011.8,   50,   11     ,CORDOBA OBSERVATORIO,2021-01-02 13:00:00
02012021,   14,  31.8,   34,  1011.4,   70,   13     ,CORDOBA OBSERVATORIO,2021-01-02 14:00:00
02012021,   15,  32.5,   35,  1009.6,   50,   11     ,CORDOBA OBSERVATORIO,2021-01-02 15:00:00
02012021,   16,  33.2,   33,  1008.6,   70,   15     ,CORDOBA OBSERVATORIO,2021-01-02 16:00:00
02012021,   17,  33.2,   35,  1006.8,   90,   20     ,CORDOBA OBSERVATORIO,2021-01-02 17:00:00
02012021,   18,  33.2,   31,  1006.6,   70,   17     ,CORDOBA OBSERVATORIO,2021-01-02 18:00:00
02012021,   19,  31.1,   31,  1006.6,   90,   20     ,CORDOBA OBSERVATORIO,2021-01-02 19:00:00
02012021,   20,  29.8,   32,  1006.8,   70,   15     ,CORDOBA OBSERVATORIO,2021-01-02 20:00:00
02012021,   21,  28.6,   35,  1007.2,   70,   17     ,CORDOBA OBSERVATORIO,2021-01-02 21:00:00
02012021,   22,  27.8,   37,  1007.9,   70,    9     ,CORDOBA OBSERVATORIO,2021-01-02 22:00:00
02012021,   23,  27.2,   39,  1007.8,   70,   15     ,CORDOBA OBSERVATORIO,2021-01-02 23:00:00
03012021,    0,  26.6,   45,  1007.8,   70,   11     ,CORDOBA OBSERVATORIO,2021-01-03 00:00:00
03012021,    1,  25.3,   48,  1008.3,   90,    7     ,CORDOBA OBSERVATORIO,2021-01-03 01:00:00
03012021,    2,  23.2,   53,  1009.9,  250,    7     ,CORDOBA OBSERVATORIO,2021-01-03 02:00:00
03012021,    3,  21.0,   82,  1010.0,  180,    4     ,CORDOBA OBSERVATORIO,2021-01-03 03:00:00
03012021,    4,  20.2,   85,  1009.9,  320,    9     ,CORDOBA OBSERVATORIO,2021-01-03 04:00:00
03012021,    5,  20.2,   88,  1010.6,  230,    4     ,CORDOBA OBSERVATORIO,2021-01-03 05:00:00
03012021,    6,  19.6,   88,  1011.0,  320,    9     ,CORDOBA OBSERVATORIO,2021-01-03 06:00:00
03012021,    7,  18.6,   92,  1011.2,  340,    7     ,CORDOBA OBSERVATORIO,2021-01-03 07:00:00
03012021,    8,  18.8,   92,  1011.7,  320,    6     ,CORDOBA OBSERVATORIO,2021-01-03 08:00:00
03012021,    9,  18.8,   91,  1013.8,  360,    9     ,CORDOBA OBSERVATORIO,2021-01-03 09:00:00
03012021,   10,  19.0,   89,  1012.8,  320,    6     ,CORDOBA OBSERVATORIO,2021-01-03 10:00:00
03012021,   11,  18.8,   92,  1012.9,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-03 11:00:00
03012021,   12,  18.6,   88,  1013.2,  360,    6     ,CORDOBA OBSERVATORIO,2021-01-03 12:00:00
03012021,   13,  18.6,   88,  1013.4,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-03 13:00:00
03012021,   14,  19.2,   84,  1012.8,  140,    4     ,CORDOBA OBSERVATORIO,2021-01-03 14:00:00
03012021,   15,  19.4,   83,  1012.7,  140,    4     ,CORDOBA OBSERVATORIO,2021-01-03 15:00:00
03012021,   16,  20.4,   79,  1012.2,  320,    4     ,CORDOBA OBSERVATORIO,2021-01-03 16:00:00
03012021,   17,  21.6,   75,  1011.9,  360,    4     ,CORDOBA OBSERVATORIO,2021-01-03 17:00:00
03012021,   18,  23.6,   67,  1010.9,   50,    6     ,CORDOBA OBSERVATORIO,2021-01-03 18:00:00
03012021,   19,  23.4,   70,  1010.8,  230,    2     ,CORDOBA OBSERVATORIO,2021-01-03 19:00:00
03012021,   20,  23.0,   71,  1011.0,  360,    2     ,CORDOBA OBSERVATORIO,2021-01-03 20:00:00
03012021,   21,  21.6,   84,  1011.5,   90,    4     ,CORDOBA OBSERVATORIO,2021-01-03 21:00:00
03012021,   22,  21.0,   85,  1011.8,   50,    2     ,CORDOBA OBSERVATORIO,2021-01-03 22:00:00
03012021,   23,  21.2,   79,  1010.8,  270,    6     ,CORDOBA OBSERVATORIO,2021-01-03 23:00:00
04012021,    0,  21.2,   75,  1010.7,  270,    4     ,CORDOBA OBSERVATORIO,2021-01-04 00:00:00
04012021,    1,  20.8,   77,  1010.8,    0,    0     ,CORDOBA OBSERVATORIO,2021-01-04 01:00:00
04012021,    2,  20.2,   75,  1010.8,  230,    2     ,CORDOBA OBSERVATORIO,2021-01-04 02:00:00
04012021,    3,  19.8,   77,  1010.7,  270,    6     ,CORDOBA OBSERVATORIO,2021-01-04 03:00:00
04012021,    4,  19.0,   81,  1010.7,  270,    6     ,CORDOBA OBSERVATORIO,2021-01-04 04:00:00
04012021,    5,  18.6,   82,  1010.6,  270,    4     ,CORDOBA OBSERVATORIO,2021-01-04 05:00:00
04012021,    6,  19.2,   88,  1009.3,  270,    4     ,CORDOBA OBSERVATORIO,2021-01-04 06:00:00
04012021,    7,  19.2,   90,  1009.1,  270,    4     ,CORDOBA OBSERVATORIO,2021-01-04 07:00:00
04012021,    8,  20.8,   85,  1010.0,  200,    2     ,CORDOBA OBSERVATORIO,2021-01-04 08:00:00
04012021,    9,  23.2,   67,  1010.0,  140,    2     ,CORDOBA OBSERVATORIO,2021-01-04 09:00:00
04012021,   10,  26.2,   52,  1009.7,   90,    6     ,CORDOBA OBSERVATORIO,2021-01-04 10:00:00
04012021,   11,  27.4,   46,  1007.9,   90,    7     ,CORDOBA OBSERVATORIO,2021-01-04 11:00:00
04012021,   12,  29.0,   44,  1007.5,   90,    9     ,CORDOBA OBSERVATORIO,2021-01-04 12:00:00
04012021,   13,  29.4,   46,  1007.3,  160,    6     ,CORDOBA OBSERVATORIO,2021-01-04 13:00:00
04012021,   14,  29.8,   45,  1007.2,  140,    7     ,CORDOBA OBSERVATORIO,2021-01-04 14:00:00
04012021,   15,  30.2,   43,  1006.4,  180,   11     ,CORDOBA OBSERVATORIO,2021-01-04 15:00:00
04012021,   16,  30.6,   43,  1006.0,  110,    7     ,CORDOBA OBSERVATORIO,2021-01-04 16:00:00
04012021,   17,  31.2,   40,  1005.7,  140,    6     ,CORDOBA OBSERVATORIO,2021-01-04 17:00:00
04012021,   18,  31.2,   38,  1005.3,  140,    9     ,CORDOBA OBSERVATORIO,2021-01-04 18:00:00
04012021,   19,  30.8,   40,  1004.0,  160,    6     ,CORDOBA OBSERVATORIO,2021-01-04 19:00:00
04012021,   20,  29.2,   45,  1003.5,  160,    7     ,CORDOBA OBSERVATORIO,2021-01-04 20:00:00
04012021,   21,  28.2,   46,  1005.0,  140,    9     ,CORDOBA OBSERVATORIO,2021-01-04 21:00:00
04012021,   22,  27.0,   50,  1004.4,   90,    7     ,CORDOBA OBSERVATORIO,2021-01-04 22:00:00
04012021,   23,  26.2,   55,  1004.2,  230,    7     ,CORDOBA OBSERVATORIO,2021-01-04 23:00:00
05012021,    0,  25.2,   59,  1008.2,  230,   26     ,CORDOBA OBSERVATORIO,2021-01-05 00:00:00
05012021,    1,  21.4,   67,  1010.4,  230,   28     ,CORDOBA OBSERVATORIO,2021-01-05 01:00:00
05012021,    2,  18.8,   86,  1011.2,  230,   17     ,CORDOBA OBSERVATORIO,2021-01-05 02:00:00
05012021,    3,  18.4,   88,  1010.8,  270,    7     ,CORDOBA OBSERVATORIO,2021-01-05 03:00:00
05012021,    4,  18.2,   89,  1010.4,  320,    7     ,CORDOBA OBSERVATORIO,2021-01-05 04:00:00
05012021,    5,  17.4,   87,  1010.4,  290,    4     ,CORDOBA OBSERVATORIO,2021-01-05 05:00:00
05012021,    6,  17.4,   87,  1009.4,  180,    4     ,CORDOBA OBSERVATORIO,2021-01-05 06:00:00
05012021,    7,  17.6,   84,  1009.4,  230,    7     ,CORDOBA OBSERVATORIO,2021-01-05 07:00:00
05012021,    8,  18.1,   88,  1011.2,  200,   11     ,CORDOBA OBSERVATORIO,2021-01-05 08:00:00
05012021,    9,  19.5,   82,  1011.8,  200,   11     ,CORDOBA OBSERVATORIO,2021-01-05 09:00:00
05012021,   10,  20.1,   75,  1012.0,  180,   13     ,CORDOBA OBSERVATORIO,2021-01-05 10:00:00
05012021,   11,  21.7,   69,  1011.9,  200,   13     ,CORDOBA OBSERVATORIO,2021-01-05 11:00:00
05012021,   12,  23.7,   60,  1011.8,  160,   15     ,CORDOBA OBSERVATORIO,2021-01-05 12:00:00
05012021,   13,  24.5,   55,  1012.1,  180,   13     ,CORDOBA OBSERVATORIO,2021-01-05 13:00:00
05012021,   14,  24.7,   61,  1012.0,  160,   15     ,CORDOBA OBSERVATORIO,2021-01-05 14:00:00
